customer_id,customer_ref,full_name,email,phone,country_code,signup_date,status,date_of_birth,created_at,updated_at
1,CUST_1,Customer_1,customer1@example.com,0408636694,IN,2024-12-11,active,1978-04-29,2025-12-11 07:19:00.204700,2026-04-17 07:19:00.204700
2,CUST_2,Customer_2,customer2@example.com,0458438598,IN,2026-01-15,suspended,1974-04-30,2025-06-07 07:19:00.204700,2026-04-17 07:19:00.204700
3,CUST_3,Customer_3,customer3@example.com,0407956319,SG,2024-08-01,suspended,1962-05-03,2025-07-14 07:19:00.204700,2026-04-17 07:19:00.204700
4,CUST_4,Customer_4,customer4@example.com,0434281143,IN,2024-09-12,inactive,1959-05-04,2025-11-21 07:19:00.204700,2026-04-17 07:19:00.204700
5,CUST_5,Customer_5,customer5@example.com,0440203614,US,2024-09-27,inactive,1990-04-26,2026-01-13 07:19:00.204700,2026-04-17 07:19:00.204700
6,CUST_6,Customer_6,customer6@example.com,0435384173,IN,2024-11-06,inactive,1974-04-30,2025-11-24 07:19:00.204700,2026-04-17 07:19:00.204700
7,CUST_7,Customer_7,customer7@example.com,0440048375,US,2025-01-06,active,1982-04-28,2025-05-12 07:19:00.204700,2026-04-17 07:19:00.204700
8,CUST_8,Customer_8,customer8@example.com,0463670160,GB,2025-08-16,suspended,1984-04-27,2025-12-16 07:19:00.204700,2026-04-17 07:19:00.204700
9,CUST_9,Customer_9,customer9@example.com,0459012918,SG,2026-01-20,inactive,1972-04-30,2026-01-11 07:19:00.204700,2026-04-17 07:19:00.204700
10,CUST_10,Customer_10,customer10@example.com,0400656006,US,2026-02-27,inactive,1987-04-27,2025-05-30 07:19:00.204700,2026-04-17 07:19:00.204700
11,CUST_11,Customer_11,customer11@example.com,0451532613,GB,2024-05-08,inactive,1988-04-26,2025-11-30 07:19:00.204700,2026-04-17 07:19:00.204700
12,CUST_12,Customer_12,customer12@example.com,0451463531,GB,2024-09-08,inactive,1975-04-30,2026-01-03 07:19:00.204700,2026-04-17 07:19:00.204700
14,CUST_14,Customer_14,customer14@example.com,0431898713,US,2025-08-30,suspended,1995-04-25,2025-05-29 07:19:00.204700,2026-04-17 07:19:00.204700
15,CUST_15,Customer_15,customer15@example.com,0473456039,AU,2025-11-16,active,2007-04-22,2026-01-10 07:19:00.204700,2026-04-17 07:19:00.204700
16,CUST_16,Customer_16,customer16@example.com,0446048690,AU,2025-10-21,inactive,1966-05-02,2025-04-22 07:19:00.204700,2026-04-17 07:19:00.204700
18,CUST_18,Customer_18,customer18@example.com,0459863351,SG,2026-03-20,active,2003-04-23,2025-12-14 07:19:00.204700,2026-04-17 07:19:00.204700
19,CUST_19,Customer_19,customer19@example.com,0493898189,GB,2026-02-10,inactive,2006-04-22,2025-09-01 07:19:00.204700,2026-04-17 07:19:00.204700
20,CUST_20,Customer_20,customer20@example.com,0463546019,GB,2025-07-30,active,1987-04-27,2025-09-13 07:19:00.204700,2026-04-17 07:19:00.204700
21,CUST_21,Customer_21,customer21@example.com,0473732784,SG,2025-01-14,suspended,1971-05-01,2025-06-17 07:19:00.204700,2026-04-17 07:19:00.204700
22,CUST_22,Customer_22,customer22@example.com,0469490984,SG,2025-03-23,active,1962-05-03,2025-07-14 07:19:00.204700,2026-04-17 07:19:00.204700
23,CUST_23,Customer_23,customer23@example.com,0483157021,US,2026-01-24,inactive,2008-04-21,2025-06-20 07:19:00.204700,2026-04-17 07:19:00.204700
24,CUST_24,Customer_24,customer24@example.com,0407451899,GB,2024-06-14,inactive,1993-04-25,2025-11-14 07:19:00.204700,2026-04-17 07:19:00.204700
25,CUST_25,Customer_25,customer25@example.com,0454203328,AU,2024-11-13,active,1982-04-28,2026-03-31 07:19:00.204700,2026-04-17 07:19:00.204700
26,CUST_26,Customer_26,customer26@example.com,0470327454,IN,2024-10-18,inactive,1996-04-24,2025-06-14 07:19:00.204700,2026-04-17 07:19:00.204700
27,CUST_27,Customer_27,customer27@example.com,0418612049,AU,2024-08-09,active,2000-04-23,2026-03-18 07:19:00.204700,2026-04-17 07:19:00.204700
28,CUST_28,Customer_28,customer28@example.com,0441915263,US,2025-01-25,active,1999-04-24,2025-05-20 07:19:00.204700,2026-04-17 07:19:00.204700
29,CUST_29,Customer_29,customer29@example.com,0440831866,AU,2025-02-20,suspended,1957-05-04,2026-01-24 07:19:00.204700,2026-04-17 07:19:00.204700
30,CUST_30,Customer_30,customer30@example.com,0450078455,SG,2024-04-19,inactive,1997-04-24,2026-03-18 07:19:00.204700,2026-04-17 07:19:00.204700
31,CUST_31,Customer_31,customer31@example.com,0412640014,AU,2026-02-26,suspended,1996-04-24,2025-05-14 07:19:00.204700,2026-04-17 07:19:00.204700
32,CUST_32,Customer_32,customer32@example.com,0498462198,SG,2025-11-08,inactive,1976-04-29,2025-12-28 07:19:00.204700,2026-04-17 07:19:00.204700
33,CUST_33,Customer_33,customer33@example.com,0434260106,GB,2024-05-22,active,1959-05-04,2025-08-25 07:19:00.204700,2026-04-17 07:19:00.204700
34,CUST_34,Customer_34,customer34@example.com,0428616347,GB,2025-11-28,active,1957-05-04,2025-06-27 07:19:00.204700,2026-04-17 07:19:00.204700
35,CUST_35,Customer_35,customer35@example.com,0497772849,AU,2024-07-31,suspended,1971-05-01,2026-02-25 07:19:00.204700,2026-04-17 07:19:00.204700
36,CUST_36,Customer_36,customer36@example.com,0460509995,SG,2025-07-29,active,2005-04-22,2026-02-20 07:19:00.204700,2026-04-17 07:19:00.204700
37,CUST_37,Customer_37,customer37@example.com,0407100758,GB,2025-09-09,suspended,1974-04-30,2025-05-14 07:19:00.204700,2026-04-17 07:19:00.204700
38,CUST_38,Customer_38,customer38@example.com,0457162863,IN,2026-02-08,active,1965-05-02,2025-11-08 07:19:00.204700,2026-04-17 07:19:00.204700
39,CUST_39,Customer_39,customer39@example.com,0485030421,AU,2024-05-20,inactive,1996-04-24,2025-06-18 07:19:00.204700,2026-04-17 07:19:00.204700
40,CUST_40,Customer_40,customer40@example.com,0485179109,US,2025-04-13,inactive,1997-04-24,2025-09-17 07:19:00.204700,2026-04-17 07:19:00.204700
41,CUST_41,Customer_41,customer41@example.com,0439611277,GB,2025-10-31,inactive,1963-05-03,2025-10-28 07:19:00.204700,2026-04-17 07:19:00.204700
42,CUST_42,Customer_42,customer42@example.com,0465513204,AU,2024-06-10,inactive,1970-05-01,2025-09-28 07:19:00.204700,2026-04-17 07:19:00.204700
43,CUST_43,Customer_43,customer43@example.com,0457376241,SG,2024-08-18,suspended,1990-04-26,2025-05-02 07:19:00.204700,2026-04-17 07:19:00.204700
44,CUST_44,Customer_44,customer44@example.com,0492591563,SG,2024-12-22,inactive,2000-04-23,2025-10-17 07:19:00.204700,2026-04-17 07:19:00.204700
45,CUST_45,Customer_45,customer45@example.com,0469815740,GB,2025-06-09,suspended,1979-04-29,2025-10-16 07:19:00.204700,2026-04-17 07:19:00.204700
46,CUST_46,Customer_46,customer46@example.com,0447856864,GB,2024-07-12,suspended,1984-04-27,2025-05-27 07:19:00.204700,2026-04-17 07:19:00.204700
47,CUST_47,Customer_47,customer47@example.com,0417928527,US,2024-09-13,active,1964-05-02,2025-07-20 07:19:00.204700,2026-04-17 07:19:00.204700
48,CUST_48,Customer_48,customer48@example.com,0451870283,GB,2026-01-09,inactive,1996-04-24,2025-06-11 07:19:00.204700,2026-04-17 07:19:00.204700
49,CUST_49,Customer_49,customer49@example.com,0493536837,IN,2026-03-22,suspended,2001-04-23,2026-03-21 07:19:00.204700,2026-04-17 07:19:00.204700
50,CUST_50,Customer_50,customer50@example.com,0439581780,GB,2025-07-04,suspended,2004-04-22,2026-02-13 07:19:00.204700,2026-04-17 07:19:00.204700
51,CUST_51,Customer_51,customer51@example.com,0406090173,IN,2024-10-02,active,1964-05-02,2025-08-06 07:19:00.204700,2026-04-17 07:19:00.204700
52,CUST_52,Customer_52,customer52@example.com,0464194128,IN,2024-11-09,inactive,1996-04-24,2025-09-22 07:19:00.204700,2026-04-17 07:19:00.204700
53,CUST_53,Customer_53,customer53@example.com,0489507439,GB,2024-12-03,inactive,2001-04-23,2026-02-24 07:19:00.204700,2026-04-17 07:19:00.204700
54,CUST_54,Customer_54,customer54@example.com,0467346794,AU,2024-10-23,suspended,1989-04-26,2025-08-15 07:19:00.204700,2026-04-17 07:19:00.204700
55,CUST_55,Customer_55,customer55@example.com,0426467623,IN,2025-08-08,suspended,2004-04-22,2026-02-01 07:19:00.204700,2026-04-17 07:19:00.204700
